id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21990972,★☆Chalet Estoril | AC✔ Parking✔ Families✔ Groups✔,160573656,Catarina E Roberto,Cascais,Cascais e Estoril,38.70463,-9.39646,Entire home/apt,135,3,2,2018-12-08,0.59,1,327
21992041,"1BR Apt terrace, Pool S. Pedro Estoril-CheckinHome",10599350,Cláudia,Cascais,Cascais e Estoril,38.69376,-9.37165,Entire home/apt,130,3,4,2018-08-26,0.59,32,365
21993551,"Lauder Apartment, Paco de Arcos, Lisboa",22192546,Madalena,Oeiras,"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",38.69361,-9.30068,Entire home/apt,55,3,13,2018-10-20,1.20,76,322
21995056,Estrela Cozy 57 by Lisbonne Collection,34827624,Lisbonne,Lisboa,Campo de Ourique,38.71662,-9.15633,Entire home/apt,85,1,3,2018-06-17,0.22,50,274
21995059,Estrela Terrace 52 by Lisbonne Collection,34827624,Lisbonne,Lisboa,Estrela,38.71291,-9.15632,Entire home/apt,120,1,14,2018-12-30,1.02,50,248
21996287,Apartamento Bela Vista,158563284,Yolanda,Loures,Santo Antnio dos Cavaleiros e Frielas,38.81131,-9.18016,Entire home/apt,52,3,17,2018-11-16,1.29,1,292
21996410,Chiado single bedroom (2.1),154224483,Jianxin,Lisboa,Misericrdia,38.71357,-9.142,Private room,18,2,31,2018-12-31,2.56,8,183
21996513,Graça Artistic Studio,3953109,Feels Like Home,Lisboa,So Vicente,38.71764,-9.12863,Entire home/apt,47,2,18,2019-01-27,1.24,272,325
21996770,"Casa na Expo, your sweet home in Lisbon",51187453,Stephanie,Lisboa,Parque das Naes,38.78261,-9.09315,Entire home/apt,35,7,13,2019-01-02,0.96,2,51
21997648,House of Sunflowers,160624685,Carolina,Lisboa,Arroios,38.73297,-9.14126,Entire home/apt,45,1,71,2019-02-01,5.55,1,178
21998370,Calm and central,160631012,Vasco,Lisboa,Misericrdia,38.70905,-9.15153,Entire home/apt,54,1,19,2019-01-01,1.39,1,339
22003947,Sintra mais perto de si...,160680147,Irley,Sintra,Algueiro-Mem Martins,38.79167,-9.33013,Private room,10,3,1,2017-12-04,0.07,1,365
22004620,Belém Apartment for 5 persons with fantastic view,100873997,Nextplan,Lisboa,Ajuda,38.70306,-9.19668,Entire home/apt,65,2,19,2019-01-01,1.40,2,330
22005659,Elegant private apartment in Lisbon's city centre,160691418,Felipe,Lisboa,Misericrdia,38.7099,-9.15291,Entire home/apt,125,3,56,2019-01-04,4.08,1,34
22010143,Lapa Meio-apt. w/ terrace between Estrela & Santos,159973515,Carlos,Lisboa,Estrela,38.71107,-9.15981,Entire home/apt,65,2,38,2019-02-12,3.06,1,337
22011226,Amendoeira's Traditional Studio,160731648,Joana & Teresa,Lisboa,So Vicente,38.71545,-9.12667,Entire home/apt,45,2,37,2019-01-16,2.69,2,324
22015349,Casinhas Saloias,160761242,Madalena,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.80016,-9.38102,Entire home/apt,60,2,46,2019-01-10,4.13,1,353
22015899,Small Double Room,134569653,At Ease,Lisboa,Santo Antnio,38.72615,-9.14576,Private room,65,1,0,,,11,90
