id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22914583,"Quiet room Trastevere  feel  home
 lgbt friendly",6373915,Jorge,,I Centro Storico,41.88891,12.47279,Private room,49,7,0,,,2,322
22915601,Charming Penthouse (Attico) Navona,8151917,Giordano&Ileana,,I Centro Storico,41.90062,12.46797,Entire home/apt,55,2,72,2019-02-21,5.64,1,220
22916980,"Beautiful studio, Sarario neighbourhood 82090",5056483,Bettina,,II Parioli/Nomentano,41.91758,12.50144,Entire home/apt,147,3,0,,,143,301
22917166,Vascellari | Few minutes from Circo Massimo,368565,Andrea,,I Centro Storico,41.88945,12.47736,Entire home/apt,175,3,14,2019-02-25,1.19,9,7
22917313,Locazione Turistica Cielo Blu Roma,67288580,Massimo,,XIII Aurelia,41.9038,12.39083,Entire home/apt,60,1,46,2019-02-26,3.52,2,140
22917600,Roma green room,1712012,Pietro,,XIV Monte Mario,41.91922,12.41594,Private room,29,1,8,2019-02-13,0.92,1,174
22917769,Piazza Margana,156158778,Sally,,I Centro Storico,41.89636,12.48094,Entire home/apt,592,1,0,,,20,194
22918374,"Luxury Apartment, Private Garden, Monti",169290694,Paola,,I Centro Storico,41.89744,12.49418,Entire home/apt,450,2,6,2019-01-05,0.52,1,353
22918390,René Magritte - Your Rome in Piazza Mazzini,169681474,Mehrnoosh,,I Centro Storico,41.914,12.46412,Private room,25,1,0,,,5,84
22919534,Jackson Pollock - Your Rome in Piazza Mazzini,169681474,Mehrnoosh,,I Centro Storico,41.91294,12.46472,Private room,22,1,6,2019-02-05,0.62,5,89
22919691,Charming studio flat in Rome center (1-2 people),44003075,Margherita,,II Parioli/Nomentano,41.91021,12.50385,Entire home/apt,70,3,4,2019-01-02,0.35,3,68
